2026-08-29 01:45:47Z ok [cloud] 14.7s events: - | eq=9578.11 pos=1
2026-08-29 02:00:55Z RF ok: - | C2=12362.76 C3b=14211.91
2026-08-29 02:00:55Z ok [cloud] 14s events: - | eq=9577.41 pos=1
2026-08-29 02:15:56Z RF ok: - | C2=12362.76 C3b=14211.91
2026-08-29 02:15:56Z ok [cloud] 13.7s events: - | eq=9573.91 pos=1
2026-08-29 02:22:31Z RF ok: - | C2=12362.76 C3b=14211.91
2026-08-29 02:22:31Z ok [cloud] 15.4s events: - | eq=9568.67 pos=1
2026-08-29 02:30:44Z RF ok: - | C2=12362.76 C3b=14211.91
2026-08-29 02:30:44Z ok [cloud] 14.5s events: - | eq=9565.87 pos=1
2026-08-29 02:45:42Z RF ok: - | C2=12362.76 C3b=14211.91
2026-08-29 02:45:42Z ok [cloud] 13.8s events: - | eq=9569.37 pos=1
2026-08-29 03:00:41Z RF ok: - | C2=12362.76 C3b=14211.91
2026-08-29 03:00:41Z ok [cloud] 12.9s events: - | eq=9571.12 pos=1
2026-08-29 03:15:59Z RF ok: - | C2=12362.76 C3b=14211.91
2026-08-29 03:15:59Z ok [cloud] 16.4s events: - | eq=9568.32 pos=1
2026-08-29 03:30:40Z RF ok: - | C2=12362.76 C3b=14211.91
2026-08-29 03:30:40Z ok [cloud] 14.3s events: - | eq=9571.12 pos=1
2026-08-29 03:45:45Z RF ok: - | C2=12362.76 C3b=14211.91
2026-08-29 03:45:45Z ok [cloud] 13.9s events: - | eq=9565.87 pos=1
2026-08-29 04:03:05Z scan 4h bar=2026-08-29 00:00: pass=0/20, near=BTC-USDT 7/6 (miss: triggerBar), btc=up fng=68 flat=off
2026-08-29 04:03:10Z RF ok: - | C2=12362.76 C3b=14211.91
2026-08-29 04:03:10Z ok [cloud] 125.3s events: - | eq=9565.17 pos=1
2026-08-29 04:15:52Z RF ok: - | C2=12362.76 C3b=14211.91
2026-08-29 04:15:52Z ok [cloud] 14.3s events: - | eq=9571.12 pos=1
2026-08-29 04:30:51Z RF ok: - | C2=12362.76 C3b=14211.91
2026-08-29 04:30:51Z ok [cloud] 16.3s events: - | eq=9572.51 pos=1
2026-08-29 04:45:56Z RF ok: - | C2=12362.76 C3b=14211.91
2026-08-29 04:45:57Z ok [cloud] 18.9s events: - | eq=9572.16 pos=1
2026-08-29 05:00:49Z RF ok: - | C2=12362.76 C3b=14211.91
2026-08-29 05:00:49Z ok [cloud] 16.2s events: - | eq=9576.71 pos=1
2026-08-29 05:15:50Z RF ok: - | C2=12362.76 C3b=14211.91
2026-08-29 05:15:50Z ok [cloud] 13.5s events: - | eq=9580.56 pos=1
2026-08-29 05:30:51Z RF ok: - | C2=12362.76 C3b=14211.91
2026-08-29 05:30:51Z ok [cloud] 14.4s events: - | eq=9581.26 pos=1
2026-08-29 05:45:45Z RF ok: - | C2=12362.76 C3b=14211.91
2026-08-29 05:45:45Z ok [cloud] 14.9s events: - | eq=9580.91 pos=1
2026-08-29 06:00:43Z RF ok: - | C2=12362.76 C3b=14211.91
2026-08-29 06:00:43Z ok [cloud] 13.2s events: - | eq=9581.96 pos=1
2026-08-29 06:15:40Z RF ok: - | C2=12362.76 C3b=14211.91
2026-08-29 06:15:40Z ok [cloud] 14s events: - | eq=9566.92 pos=1
2026-08-29 06:30:48Z RF ok: - | C2=12362.76 C3b=14211.91
2026-08-29 06:30:48Z ok [cloud] 14.4s events: - | eq=9567.62 pos=1
2026-08-29 06:45:45Z RF ok: - | C2=12362.76 C3b=14211.91
2026-08-29 06:45:45Z ok [cloud] 16.4s events: - | eq=9569.02 pos=1
2026-08-29 07:00:45Z RF ok: - | C2=12362.76 C3b=14211.91
2026-08-29 07:00:45Z ok [cloud] 13.9s events: - | eq=9570.77 pos=1
2026-08-29 07:15:43Z RF ok: - | C2=12365 C3b=14216.04
2026-08-29 07:15:43Z ok [cloud] 14s events: - | eq=9565.87 pos=1
2026-08-29 07:30:52Z RF ok: - | C2=12365 C3b=14216.04
2026-08-29 07:30:52Z ok [cloud] 14s events: - | eq=9568.32 pos=1
2026-08-29 07:45:51Z RF ok: - | C2=12365 C3b=14216.04
2026-08-29 07:45:51Z ok [cloud] 15.9s events: - | eq=9568.32 pos=1
2026-08-29 08:02:58Z scan 4h bar=2026-08-29 04:00: pass=0/20, near=BTC-USDT 7/6 (miss: triggerBar), btc=up fng=68 flat=off
2026-08-29 08:03:04Z RF ok: - | C2=12365 C3b=14216.04
2026-08-29 08:03:04Z ok [cloud] 126.8s events: - | eq=9562.72 pos=1
2026-08-29 08:15:39Z RF ok: - | C2=12360.96 C3b=14208.4
2026-08-29 08:15:39Z ok [cloud] 13.5s events: - | eq=9558.62 pos=1
2026-08-29 08:30:38Z RF ok: - | C2=12360.96 C3b=14208.4
2026-08-29 08:30:38Z ok [cloud] 7s events: - | eq=9560.37 pos=1
2026-08-29 08:45:50Z RF ok: - | C2=12360.96 C3b=14208.4
2026-08-29 08:45:50Z ok [cloud] 14.3s events: - | eq=9554.43 pos=1
2026-08-29 09:00:50Z RF ok: - | C2=12360.96 C3b=14208.4
2026-08-29 09:00:50Z ok [cloud] 13.7s events: - | eq=9556.53 pos=1
2026-08-29 09:16:04Z RF ok: - | C2=12361.88 C3b=14208.57
2026-08-29 09:16:04Z ok [cloud] 17.1s events: - | eq=9559.67 pos=1
2026-08-29 09:30:42Z RF ok: - | C2=12361.88 C3b=14208.57
2026-08-29 09:30:42Z ok [cloud] 14.9s events: - | eq=9561.42 pos=1
2026-08-29 09:43:39Z RF ok: - | C2=12361.88 C3b=14208.57
2026-08-29 09:43:39Z ok [cloud] 13.6s events: - | eq=9563.87 pos=1
2026-08-29 09:45:44Z RF ok: - | C2=12361.88 C3b=14208.57
2026-08-29 09:45:44Z ok [cloud] 14.7s events: - | eq=9562.12 pos=1
2026-08-29 09:58:36Z RF ok: - | C2=12361.88 C3b=14208.57
2026-08-29 09:58:36Z ok [cloud] 13.1s events: - | eq=9562.12 pos=1
2026-08-29 10:00:48Z RF ok: - | C2=12361.88 C3b=14208.57
2026-08-29 10:00:48Z ok [cloud] 13.3s events: - | eq=9560.37 pos=1
2026-08-29 10:13:38Z RF ok: - | C2=12361.88 C3b=14208.57
2026-08-29 10:13:38Z ok [cloud] 14.4s events: - | eq=9563.17 pos=1
2026-08-29 10:15:52Z RF ok: - | C2=12345.72 C3b=14180.55
2026-08-29 10:15:52Z ok [cloud] 14.5s events: - | eq=9562.82 pos=1
2026-08-29 10:28:40Z RF ok: - | C2=12345.72 C3b=14180.55
2026-08-29 10:28:40Z ok [cloud] 14.8s events: - | eq=9567.72 pos=1
2026-08-29 10:30:47Z RF ok: - | C2=12345.72 C3b=14180.55
2026-08-29 10:30:47Z ok [cloud] 13.3s events: - | eq=9566.67 pos=1
2026-08-29 10:43:34Z RF ok: - | C2=12345.72 C3b=14180.55
2026-08-29 10:43:34Z ok [cloud] 13.3s events: - | eq=9563.52 pos=1
2026-08-29 10:45:45Z RF ok: - | C2=12345.72 C3b=14180.55
2026-08-29 10:45:45Z ok [cloud] 14.7s events: - | eq=9564.92 pos=1
2026-08-29 10:56:02Z RF ok: - | C2=12345.72 C3b=14180.55
2026-08-29 10:56:02Z ok [cloud] 13.9s events: - | eq=9566.67 pos=1
2026-08-29 10:58:33Z RF ok: - | C2=12345.72 C3b=14180.55
2026-08-29 10:58:33Z ok [cloud] 12.8s events: - | eq=9565.62 pos=1
2026-08-29 11:00:52Z RF ok: - | C2=12345.72 C3b=14180.55
2026-08-29 11:00:52Z ok [cloud] 21.9s events: - | eq=9563.87 pos=1
2026-08-29 11:10:11Z RF ok: - | C2=12345.72 C3b=14180.55
2026-08-29 11:10:11Z ok [cloud] 14.6s events: - | eq=9561.42 pos=1
2026-08-29 11:13:46Z RF ok: - | C2=12345.72 C3b=14180.55
2026-08-29 11:13:46Z ok [cloud] 14.8s events: - | eq=9563.87 pos=1
2026-08-29 11:15:50Z RF ok: - | C2=12347.73 C3b=14184.27
2026-08-29 11:15:50Z ok [cloud] 13.1s events: - | eq=9565.27 pos=1
2026-08-29 11:28:49Z RF ok: - | C2=12347.73 C3b=14184.27
2026-08-29 11:28:49Z ok [cloud] 14.6s events: - | eq=9561.07 pos=1
2026-08-29 11:30:45Z RF ok: - | C2=12347.73 C3b=14184.27
2026-08-29 11:30:45Z ok [cloud] 14.5s events: - | eq=9561.07 pos=1
2026-08-29 11:45:36Z RF ok: - | C2=12347.73 C3b=14184.27
2026-08-29 11:45:36Z ok [cloud] 13s events: - | eq=9560.37 pos=1
2026-08-29 12:03:14Z scan 4h bar=2026-08-29 08:00: pass=0/20, near=BTC-USDT 7/6 (miss: triggerBar), btc=up fng=68 flat=off
2026-08-29 12:03:20Z RF ok: - | C2=12347.73 C3b=14184.27
2026-08-29 12:03:20Z ok [cloud] 133.3s events: - | eq=9563.52 pos=1
2026-08-29 12:13:38Z RF ok: - | C2=12347.73 C3b=14184.27
2026-08-29 12:13:38Z ok [cloud] 13.7s events: - | eq=9567.37 pos=1
2026-08-29 12:15:50Z RF ok: - | C2=12347.72 C3b=14184.43
2026-08-29 12:15:50Z ok [cloud] 13.9s events: - | eq=9570.87 pos=1
2026-08-29 12:28:46Z RF ok: - | C2=12347.72 C3b=14184.43
