utc,symbol,funding_pct_8h,oi_musd,price
2026-07-08 23:25,BTC-USDT,0.0092,3598.8,62225.3
2026-07-08 23:25,ETH-USDT,0.0056,1201,1740.14
2026-07-08 23:25,SOL-USDT,0.0028,542.8,77.543
2026-07-08 23:25,BNB-USDT,0.0098,81.6,567.44
2026-07-08 23:25,XRP-USDT,0.006,211.2,1.0877
2026-07-08 23:25,ADA-USDT,-0.0051,55.5,0.1665
2026-07-08 23:25,AVAX-USDT,0.0071,35.7,6.455
2026-07-08 23:25,LINK-USDT,0.01,53.4,7.617
2026-07-09 00:14,BTC-USDT,0.01,3572.4,62230.6
2026-07-09 00:14,ETH-USDT,0.0061,1200.8,1742.77
2026-07-09 00:14,SOL-USDT,0.01,544.7,77.699
2026-07-09 00:14,BNB-USDT,0.01,81.8,568.34
2026-07-09 00:14,XRP-USDT,0.01,211.8,1.0899
2026-07-09 00:14,ADA-USDT,0.01,55.6,0.1669
2026-07-09 00:14,AVAX-USDT,0.0058,35.8,6.47
2026-07-09 00:14,LINK-USDT,0.01,53.3,7.624
2026-07-09 10:49,ETH-USDT,0.0042,1205.4,1749.82
2026-07-09 10:49,BTC-USDT,0.0084,3530.4,62808.4
2026-07-09 11:58,BTC-USDT,0.0092,3512,62756.2
2026-07-09 11:58,ETH-USDT,0.0011,1197.5,1743.39
2026-07-09 11:58,SOL-USDT,0.001,536.3,77.599
2026-07-09 11:58,BNB-USDT,0.01,82.8,569.59
2026-07-09 11:58,XRP-USDT,0.0053,211.2,1.0927
2026-07-09 11:58,DOGE-USDT,0.0006,86.4,0.07243
2026-07-09 11:58,ADA-USDT,0.0034,58.1,0.1694
2026-07-09 11:58,AVAX-USDT,0.0071,36.8,6.705
2026-07-09 11:58,LINK-USDT,0.01,54,7.736
2026-07-09 12:07,BTC-USDT,0.0089,3508.8,62673.6
2026-07-09 12:07,ETH-USDT,0.0009,1195.9,1739.79
2026-07-09 12:07,SOL-USDT,0.0009,535,77.449
2026-07-09 12:07,XRP-USDT,0.0046,210.4,1.0918
2026-07-09 12:07,ADA-USDT,0.0016,57.5,0.1688
2026-07-09 12:07,AVAX-USDT,0.0066,36.6,6.701
2026-07-09 12:07,LINK-USDT,0.01,53.9,7.719
2026-07-09 12:07,BNB-USDT,0.01,82.8,569.01
2026-07-09 12:52,BTC-USDT,0.0082,3501.3,62605.6
2026-07-09 12:52,ETH-USDT,0.0005,1190,1739.51
2026-07-09 12:52,SOL-USDT,-0.0004,537.9,77.623
2026-07-09 12:52,BNB-USDT,0.0071,82.8,569.14
2026-07-09 12:52,XRP-USDT,0.0038,209.7,1.0931
2026-07-09 12:52,DOGE-USDT,-0.0003,87.1,0.07228
2026-07-09 12:52,ADA-USDT,-0.0013,57.2,0.1686
2026-07-09 12:52,AVAX-USDT,0.0061,36.2,6.721
2026-07-09 12:52,LINK-USDT,0.01,53.7,7.709
2026-07-09 13:03,BTC-USDT,0.008,3503.4,62773
2026-07-09 13:03,ETH-USDT,0.0005,1198.5,1747.58
2026-07-09 13:03,SOL-USDT,-0.0004,541.1,77.95
